IDLicitacion;NombreLicitacion;Tipo;Estado;FechaPublicacion;Descripcion;Moneda;TipoPresupuesto;TipoMonto;MontoLicitacion;Organismo
4429-96-LE26;SISTEMA INFORMATICO WEB PARA CENTROS DE SALUD;LE;Publicada y disponible para ofertar;24/08/2026 15:09:43;Servicio de Sistema Informático Web para la Gestión de Calidad, Seguridad del Paciente, Acreditación y Autorización Sanitaria de los Establecimientos dependientes de la Dirección de Salud Municipal de Hualpén;CLP;PUBLICADO;DISPONIBLE;32.500.000;MUNICIPALIDAD DE HUALPEN
1020-42-LE26;Adq. Suscrip. Lic. Veeam Backup MS Office 365 MOP.;LE;Publicada y disponible para ofertar;24/08/2026 11:34:44;Que, el objetivo de esta Adquisición es, contar con “Suscripción Nuevas de las Licencias de Respaldo Veeam Backup for Microsoft 365”, actualizado y con Soporte Vigente de la Marca, que permita realizar respaldo de correos desde Exchange Online Office 365 y de Exchange Server versión 2013 o superior On premises, a su vez que permita alojar los respaldos de manera local y en la nube de AWS durante un periodo de al menos 5 años.;CLP;PUBLICADO;ESTIMADO;45.000.000;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
2770-120-LR26;SISTEMA DE GESTIÓN INTEGRADO SMAPA;LR;Publicada y disponible para ofertar;10/08/2026 17:24:57;La presenta licitación tiene por finalidad la adquisición, implementación y ejecución de un sistema TI (tecnología de la información) enfocado en unificar e integrar todas las tareas de las diferentes unidades de SMAPA en una sola plataforma, de manera de tener una sola fuente de información, sin necesidad de traspasos manuales, para así prestar un mejor servicio a los usuarios, así como también el facturador electrónico de la Municipalidad de Maipú.  Todo lo anterior en virtud de lo dispuesto en las presentes Bases Administrativas, las Bases Técnicas y todos sus anexos.;UF;PUBLICADO;ESTIMADO;54.017,6700;I MUNICIPALIDAD DE MAIPU
4451-82-LE26;ADQUISICIÓN DE LICENCIAS MICROSOFT 365;LE;Publicada y disponible para ofertar;13/08/2026 11:09:36;Las presentes bases administrativas de propuestas reglamentan la adquisición por parte del municipio, de 430 licencias Microsoft office 365, por un período de 12 meses, la que será financiado por la I. municipalidad de San Clemente a través del presupuesto 2026.  El Proveedor adjudicado deberá asegurar la continuidad operativa de los servicios actuales, considerando la coordinación y seguridad necesaria para la configuración y carga de las nuevas licencias para usuarios del municipio, además, debe ofrecer plan de soporte anual incluido en la oferta comercial;CLP;PUBLICADO;DISPONIBLE;52.400.000;I MUNICIPALIDAD DE SAN CLEMENTE
1056854-8-LE26;ADQUISICIÓN DE UN SERVIDOR PARA VIDEO VIGILANCIA CON LICENCIAMIENTO;LE;Publicada y disponible para ofertar;11/08/2026 16:42:00;Se requiere adquirir un servidor para Video Vigilancia con licenciamiento. Las características técnicas se encuentran detalladas en documento Bases Técnicas adjunto a la presente licitación.;CLP;PUBLICADO;DISPONIBLE;59.663.865;I MUNICIPALIDAD DE PROVIDENCIA
1233613-63-LP26;SISTEMA DE REMUNERACIONES Y GESTIÓN DE PERSONAS;LP;Publicada y disponible para ofertar;26/08/2026 09:38:11;SISTEMA DE REMUNERACIONES Y GESTIÓN DE PERSONAS SEGÚN REX N° 1001;CLP;PUBLICADO;DISPONIBLE;110.000.000;Servicio Local de Educación Pública Magallanes
450-14-LE26;SERVICIO DE EJECUCIÓN DE SOLUCIONES DE ACUERDO A LAS PROPUESTAS TÉCNICAS DEL PROGRAMA HABITABILIDAD CHILE SOLIDARIO 2025 COMUNA DE RÍO NEGRO 2025;LE;Publicada y disponible para ofertar;17/08/2026 12:58:19;SERVICIO DE EJECUCIÓN DE SOLUCIONES DE ACUERDO A LAS PROPUESTAS TÉCNICAS DEL PROGRAMA HABITABILIDAD CHILE SOLIDARIO 2025 COMUNA DE RÍO NEGRO 2025;CLP;PUBLICADO;DISPONIBLE;24.599.880;I MUNICIPALIDAD DE RIO NEGRO
1607-11-LE26;Sistema Integral Web de Gestión de Activos Fijos;LE;Publicada y disponible para ofertar;17/08/2026 10:06:23;Se requiere de la contratación de un oferente del ramo que provea los servicios de sistema Integral Web de Gestión de Activos Fijos y Almacén Modalidad SAAS, por el periodo de 24 meses 2027-2029;CLP;PUBLICADO;DISPONIBLE;20.000.000;SUPERINTENDENCIA DE SEGURIDAD SOCIAL
1057780-5-LP26;ADQUISICIÓN EQUIPOS TIC HOSPITAL DE CURACAUTÍN;LP;Publicada y disponible para ofertar;14/08/2026 15:36:13;La presente licitación tiene como objetivo la adquisición de los equipo descrito y detallado en las especificaciones técnicas (Formulario Nº 5 “Oferta Técnica”) y en las presentes bases. Sólo se aceptarán ofertas por equipo nuevo.  ;CLP;PUBLICADO;ESTIMADO;170.000.000;SERVICIO DE SALUD ARAUCANIA NORTE
3506-88-LP26;ADQUISICION DE SOFTWARE DE GESTION MUNICIPAL;LP;Publicada y disponible para ofertar;14/08/2026 10:30:00;Se requiere el ADQUISICION DE SOFTWARE DE GESTION MUNICIPAL”. Esta adquisición debe considerar todo los especificado en las Bases Administrativas y Especificaciones técnicas  ;CLP;PUBLICADO;DISPONIBLE;269.000.000;I MUNICIPALIDAD DE TOCOPILLA
1422051-25-LE26;Contratación Servicio Plataforma de Gestión RRHH;LE;Publicada y disponible para ofertar;19/08/2026 16:23:22;Implementar una plataforma integral de gestión de personas para la Junta de Alcaldes, orientada a dar solución a los requerimientos derivados de las funciones comunes y diarias de la institución.;CLP;PUBLICADO;DISPONIBLE;32.000.000;JUNTA DE ALCALDES PROVIDENCIA LAS CONDES LA REINA
